Locus_Tag	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
SAOUHSC_00643	1619.66284971207	0.222885492912337	0.259864517936614	0.857698829690568	0.391058786439035	0.483465310098933
SAOUHSC_00644	1824.3509136831	0.703652568055282	0.340180611719041	2.06846758402692	0.0385960757518065	0.0685267099799815
SAOUHSC_00645	1050.73390085123	0.468528697677319	0.283947758187558	1.65005246270632	0.0989322063423001	0.154781939655492
SAOUHSC_00646	3171.06162570368	0.289774118719152	0.242163714380552	1.19660420414506	0.231460861047197	0.31753753220433
SAOUHSC_00647	25547.8319295934	2.10417688299859	0.217834134427446	9.65953700749974	4.47883540682873e-22	1.48503072766177e-20
SAOUHSC_00648	7301.40133455512	0.28926845369442	0.302392062165939	0.956600684629355	0.338768843146716	0.432818874809547
SAOUHSC_00650	11.1845410637717	1.55921692068521	0.633735466125043	2.46035925718186	0.0138797999585278	0.0278811748072034
SAOUHSC_00651	2225.85372385976	0.448450282424752	0.234700333797029	1.91073559704681	0.0560385677921563	0.0945543461459315
SAOUHSC_00652	3545.62110267467	-0.298389454098805	0.237086636966066	-1.25856715467904	0.208186716891852	0.291834600503615
SAOUHSC_00653	1618.13786203818	0.360944821054715	0.213873733037967	1.68765381296561	0.0914777027497169	0.144432953509593
SAOUHSC_00654	3003.25932323925	0.527291688385346	0.226995414171627	2.32291780126743	0.0201835686382541	0.03878853414279
SAOUHSC_00655	1842.4734078702	-1.31725851715053	0.41805507248237	-3.15092102418177	0.00162756492656375	0.00413578825291178
SAOUHSC_00656	1307.94978317167	-1.3443762979317	0.430794992722768	-3.12068691754005	0.00180429749889439	0.00452224655460598
SAOUHSC_00658	555.498783973634	-0.660470111033359	0.324675785208803	-2.03424505652185	0.0419268937957625	0.0735390769445114
SAOUHSC_00659	7622.04944020412	0.159819637312516	0.581101704296725	0.275028684532833	0.783294200703476	0.833897733205402
SAOUHSC_00660	16260.0279796243	1.86783888027056	0.337908976094227	5.52763913483527	3.24568800754993e-08	2.20003285634912e-07
SAOUHSC_00661	816.751260307731	0.69862784690141	0.335703966920148	2.0810830843342	0.0374263018792899	0.0666648432179973
SAOUHSC_A00635	8.53121124016317	-0.186233618670618	0.700463291706423	-0.265872060500026	0.790337743366521	0.839447884887945
SAOUHSC_00662	2198.70605221171	2.49548491079979	0.39750786911084	6.27782518213232	3.4334164146858e-10	3.03818712965123e-09
SAOUHSC_00663	1111.70920040742	-0.0845405382494863	0.467784421678657	-0.180725424643494	0.856583101406022	0.889553469837499
SAOUHSC_00664	1166.49166941696	-0.289387835292971	0.385286449872505	-0.751097878964423	0.4525937521368	0.541302914333105
SAOUHSC_00665	685.843642045429	0.247098405977398	0.312774516093075	0.790020904081157	0.429515560286668	0.518660299214089
SAOUHSC_00666	1187.84448963749	0.154835146289587	0.225368462637655	0.687031115522712	0.492063120765689	0.57944275068343
SAOUHSC_00667	4162.38243078073	-2.1687656531323	0.253685212840444	-8.54904244851022	1.24113868487671e-17	2.75452714579089e-16
SAOUHSC_00668	5433.39991969614	-0.713228700654546	0.524743563615945	-1.35919475741593	0.174084882125459	0.250696805656339
SAOUHSC_00669	2802.04580027267	0.377443465482366	0.371889653734034	1.01493403135195	0.310137274682147	0.403163807239144
SAOUHSC_00670	5647.20577307739	0.580502411869822	0.296721506061208	1.956388060898	0.0504194575264508	0.0863437132002443
SAOUHSC_00671	3352.95547852474	-1.88152914449785	0.464099032981217	-4.05415441702503	5.03159729077826e-05	0.000179597350768116
SAOUHSC_00672	1614.88453893737	0.243288240343493	0.365750468594861	0.665175471348423	0.505938267201218	0.592486004824575
SAOUHSC_00673	620.957413996328	0.181579229304847	0.360541563995504	0.503629116411975	0.614522027976728	0.693384428450987
SAOUHSC_00674	362.792658262576	-1.99023402711979	0.632683750688932	-3.14570118950047	0.00165689191978194	0.00420254982787087
SAOUHSC_00675	4551.49746911174	0.0324353385787344	0.279658647259511	0.115981890410261	0.907666894284267	0.924463098841711
SAOUHSC_00676	3074.91688260043	0.398331564411117	0.28373604900999	1.40388070462309	0.16035437635337	0.233242729241266
SAOUHSC_00677	5.98347529781591	-0.809470769656397	0.837680558370131	-0.966323930486555	0.333882115122598	0.427966269593567
SAOUHSC_00678	2150.65090098604	-1.15053512622236	0.366978929454018	-3.13515309430461	0.00171764446557154	0.00432080216567904
SAOUHSC_00679	3418.76585838943	-0.437997420515316	0.395298445916335	-1.10801705658114	0.267854449689672	0.358528913203296
SAOUHSC_00680	608.899052959906	-0.833068386847545	0.314152070052425	-2.65179976916442	0.00800640062106015	0.017027522804604
SAOUHSC_00681	2321.33331200921	-0.0656560208097856	0.21455413925039	-0.306011438600881	0.759595936554459	0.816884727392681
SAOUHSC_00682	939.366502400948	-0.241393535527674	0.296909584225832	-0.81302035485681	0.416206388003173	0.507038503667434
SAOUHSC_00683	519.79194599315	-1.33906819051104	0.398641881086346	-3.35907553632328	0.000782036880725819	0.00214359113123252
SAOUHSC_00684	96.7164609144315	-0.650646842011302	0.303398555193263	-2.14452847870961	0.0319905660713806	0.0581109160583758
SAOUHSC_00685	873.551925579704	-0.965443139613294	0.393600928123735	-2.45284772120708	0.0141730323326387	0.0283460646652773
SAOUHSC_00686	2418.1211884371	-1.37536654510661	0.329776115502211	-4.17060690708934	3.03789496962285e-05	0.000112068189764103
SAOUHSC_00687	407.930302329926	-1.18681057926904	0.254096059336014	-4.67071619438069	3.00151394941679e-06	1.40240515938794e-05
SAOUHSC_00688	11966.4086103347	-2.62118151412456	0.605698641296338	-4.32753408281487	1.50788017656236e-05	5.95363880329929e-05
SAOUHSC_00689	5495.03036951066	-2.16849337715233	0.378552809223032	-5.7283774530774	1.01395760269135e-08	7.42130670906009e-08
SAOUHSC_00690	8116.42285461525	-1.99366500775612	0.244161775134421	-8.16534450021314	3.20519176473768e-16	6.041566942848e-15
SAOUHSC_00691	2668.84561416107	-1.01596629703469	0.314841008871547	-3.22691856653655	0.00125131066799846	0.0032757893010662
SAOUHSC_00692	4542.15451281723	-0.309170221608772	0.215743368330907	-1.4330462345177	0.151844624897939	0.223105396539844
SAOUHSC_00693	5641.91398248318	0.191647274520636	0.288528268142219	0.664223563793654	0.506547234046932	0.592946826072802
SAOUHSC_00694	54734.4864435216	0.4955240998975	0.277288436111409	1.78703485383865	0.0739318554904709	0.120248502547149
SAOUHSC_00695	945.696226509705	-0.232303107882219	0.28019138363472	-0.82908726481421	0.407055029507218	0.499650062981206
SAOUHSC_00696	2185.44158390494	-0.319578039163117	0.195219306047407	-1.63702066989989	0.101626150731162	0.15863594260474
SAOUHSC_00697	271.423042459474	-0.0578406878041553	0.418043000733681	-0.138360617693976	0.889955420129372	0.912669002595807
SAOUHSC_00698	2117.70949309488	0.173439107418562	0.280862241078017	0.617523760947219	0.536889313724812	0.619764845373608
SAOUHSC_00699	5727.31588515893	-0.0477135314864778	0.268224062836542	-0.177886842000283	0.858811844598993	0.890859478453234
SAOUHSC_00700	542.711521053302	0.433138796260492	0.291436972209418	1.48621773338096	0.137221538414593	0.204347226037316
SAOUHSC_00701	502.429638308167	-0.406211302757027	0.383203050010441	-1.06004193532896	0.289125521724112	0.380341030489845
SAOUHSC_00702	319.394563670882	0.405960233532106	0.439171943082972	0.924376522512524	0.355290313866497	0.449751124084913
SAOUHSC_00703	1544.65970390287	0.244203460007976	0.21651128744713	1.12790175000741	0.259361414733934	0.349883633994013
SAOUHSC_00704	587.542050842627	-0.332534453599705	0.419583795351484	-0.792534071343584	0.428049333435775	0.518026282152706
SAOUHSC_00705	369.120990028208	-0.219193511971266	0.317098955809098	-0.691246401023238	0.489410708624091	0.576812963654604
SAOUHSC_00706	4369.40931775569	1.11528825568676	0.294385070904872	3.78853537734989	0.000151538016425184	0.000490626613178948
SAOUHSC_00707	10404.4042412099	-0.465608453499425	0.652708178304361	-0.713348582070791	0.475630081938986	0.564038537650251
SAOUHSC_00708	38441.8446842875	-0.289375113447521	0.451606470602388	-0.640768306666487	0.521673227210593	0.606012968038646
SAOUHSC_00709	1.12974650566983	1.39186176656391	2.12669914551357	0.654470459303165	0.51280875306146	0.598748276803198
SAOUHSC_00710	960.705286002164	-0.610754889334881	0.280354513104305	-2.17850921168389	0.0293681471803454	0.0538311759412771
SAOUHSC_00711	6456.02117975463	-1.25518791485436	0.310440066180493	-4.04325359898805	5.27145505112572e-05	0.000187187668396103
SAOUHSC_00712	1915.97722083553	-3.08129563140081	0.409551567872699	-7.52358401997028	5.32947244727867e-14	7.97103705158201e-13
SAOUHSC_00713	3997.68665409794	-2.20914150347873	0.225416971717521	-9.80024479366663	1.12313126223748e-22	4.01410030347734e-21
SAOUHSC_00714	24345.8016241482	0.79510953415855	0.487209004626024	1.63196806013236	0.102686214861084	0.160109044361306
SAOUHSC_00715	17219.2154559271	0.457767228513362	0.421549767474524	1.08591503028412	0.277516586517286	0.369306405268651
SAOUHSC_00716	9301.18944136295	0.284193146544338	0.453100250342929	0.6272191337993	0.530515602660103	0.613694383573184
SAOUHSC_00717	12906.5314674145	0.538252337083876	0.667747060909645	0.806072191992333	0.420201224527398	0.510760708052457
SAOUHSC_00718	1272.89648249608	0.99455563185398	0.355623826917378	2.79665072072082	0.00516353207620476	0.0114924995456554
SAOUHSC_00719	4806.60646379281	1.04568342457699	0.388556305496754	2.69120178924938	0.00711951171492237	0.0153189180918424
SAOUHSC_00720	1610.36782437895	1.59928520297586	0.340824119727545	4.69240617199961	2.70010381190459e-06	1.27456015272066e-05
SAOUHSC_00721	1688.72785140523	1.76371010136983	0.348447312121614	5.06162636362728	4.15695078818999e-07	2.31109668062603e-06
SAOUHSC_00722	174.862241455866	0.149728953694374	0.303644353850485	0.493106332443449	0.621937456707261	0.700315826865132
SAOUHSC_00723	648.872377380782	0.0121464113783067	0.37476654233996	0.0324106076878345	0.974144603221644	0.978768144602396
SAOUHSC_00724	486.446547538083	0.37470766905211	0.254441982740599	1.47266447547739	0.140841530027654	0.208833992799625
SAOUHSC_00725	261.203477000679	-0.00905440217054412	0.495380789440338	-0.0182776610711397	0.985417348373043	0.987930252357965
SAOUHSC_00726	1295.57831147183	-0.017496253087315	0.289299376379402	-0.0604780186749158	0.951774922354642	0.962545014215795
SAOUHSC_00727	2356.23778353276	-0.082371639498253	0.266155693991214	-0.309486670238105	0.756951350408432	0.815634344684418
SAOUHSC_00728	109802.695699933	2.31998328296409	0.36434457746259	6.3675526588626	1.92068118373063e-10	1.76190487254224e-09
SAOUHSC_A00703	7.54407522011316	3.29288720166636	0.993811946075478	3.31339064162977	0.000921721442117479	0.00249663130778278
SAOUHSC_00729	10144.713114873	0.672146805646886	0.233931470462441	2.8732637140192	0.00406254844825822	0.00933233166077348
SAOUHSC_00730	16076.7761425026	1.14324788935099	0.271517976292504	4.21057900092545	2.54717030136674e-05	9.61500250005976e-05
SAOUHSC_00731	3726.97885451426	-2.19814118037997	0.478216190963877	-4.59654278109962	4.29558807476231e-06	1.93138638757979e-05
SAOUHSC_00732	4903.89561544286	-0.786519450036048	0.202552061858976	-3.88304835219921	0.000103155045306261	0.000346087778991851
SAOUHSC_00733	2401.07099821317	-3.30158139420036	0.227219309255907	-14.5303733428831	7.77952773315641e-48	2.67615754020581e-45
SAOUHSC_00734	2068.58777208379	-1.19817375377618	0.331016609873472	-3.61967864462806	0.000294969110941119	0.000896966843436418
